position,percentage,gender
All managers,0.407,Female
CEO/head of business in Australia,0.194,Female
Head of business,0.335,Female
Key management personnel/head of business,0.312,Female
Key management personnel,0.345,Female
Other executives/general managers,0.341,Female
Senior managers,0.374,Female
Other managers,0.434,Female
All Non-managers,0.523,Female
Clerical and administrative ,0.732,Female
Community and personal service,0.72,Female
Machinery operators and drivers,0.143,Female
Sales,0.586,Female
Professionals,0.54,Female
Technicians and trade,0.162,Female
Labourers,0.37,Female
All managers,0.593,Male
CEO/head of business in Australia,0.806,Male
Head of business,0.665,Male
Key management personnel/head of business,0.688,Male
Key management personnel,0.655,Male
Other executives/general managers,0.659,Male
Senior managers,0.636,Male
Other managers,0.566,Male
All Non-managers,0.477,Male
Clerical and administrative ,0.268,Male
Community and personal service,0.28,Male
Machinery operators and drivers,0.857,Male
Sales,0.414,Male
Professionals,0.46,Male
Technicians and trade,0.838,Male
Labourers,0.63,Male
